Zip Code,Household Median Income,Year
98101,8640,2018
98118,16888,2018
98134,210,2018
98125,19008,2018
98102,15370,2018
98108,8645,2018
98188,8925,2018
98105,16564,2018
98115,22182,2018
98195,0,2018
98144,13439,2018
98104,8125,2018
98144,11620,2011
98195,0,2011
98104,6634,2011
98101,6923,2011
98105,15681,2011
98115,20239,2011
98188,9676,2011
98118,15563,2011
98134,262,2011
98125,17332,2011
98102,13576,2011
98108,7659,2011
98104,6674,2012
98105,15604,2012
98144,11721,2012
98118,15565,2012
98134,213,2012
98125,17461,2012
98102,13881,2012
98108,7808,2012
98188,9510,2012
98101,7239,2012
98195,0,2012
98115,20347,2012
98118,15679,2013
98134,197,2013
98125,17591,2013
98102,14049,2013
98108,7832,2013
98104,6867,2013
98144,11866,2013
98101,7679,2013
98188,9675,2013
98195,0,2013
98105,15518,2013
98115,20775,2013
98115,20694,2014
98101,7637,2014
98188,9712,2014
98144,12033,2014
98118,15804,2014
98134,222,2014
98125,17540,2014
98102,14117,2014
98108,7886,2014
98105,15190,2014
98104,7038,2014
98195,0,2014
98101,7911,2015
98118,16043,2015
98134,161,2015
98125,17836,2015
98102,14390,2015
98108,8057,2015
98188,9610,2015
98105,15274,2015
98115,21079,2015
98195,0,2015
98144,12303,2015
98104,7277,2015
98105,15779,2016
98115,21330,2016
98144,12594,2016
98188,9631,2016
98104,7529,2016
98118,16039,2016
98134,199,2016
98125,18188,2016
98102,14565,2016
98108,8336,2016
98101,8213,2016
98195,0,2016
98144,13021,2017
98104,8004,2017
98105,16007,2017
98115,21844,2017
98101,8390,2017
98118,16693,2017
98134,207,2017
98125,18649,2017
98102,15058,2017
98108,8639,2017
98188,9517,2017
98195,0,2017
98101,8640,2018
98118,16888,2018
98134,210,2018
98125,19008,2018
98102,15370,2018
98108,8645,2018
98188,8925,2018
98105,16564,2018
98115,22182,2018
98195,0,2018
98144,13439,2018
98104,8125,2018
