station,zip
Northgate Station,98125
Roosevelt Station,98115
U District Station,98105
University of Washington Station,98195
Capitol Hill Station,98102
Westlake Station,98101
University Street Station,98101
Pioneer Square Station,98104
International District/Chinatown Station,98104
Stadium Station,98134
SODO Station,98134
Beacon Hill Station,98144
Mount Baker Station &amp; Transit Center,98144
Columbia City Station,98108
Othello Station,98118
Rainier Beach Station,98118
Tukwila International Boulevard Station,98188
SeaTac/Airport Station,98188
Angle Lake Station,98188
